email,event,source,region
+41223400444info@flokylaloutre.chsite,L'indicible,geneve.ch,Genève
+41227368620asl@asleman.orgsite,"Rencontres aquatiques, à la découverte des poissons du Léman",geneve.ch,Genève
00espace-ville@geneve.ch,"Conférence ""Comprendre et gérer son e-réputation"" - Permanence numérique Rive gauche",geneve.ch,Genève
00info@lamaco.chsite,KINETIC DEVICE Atelier de hacking sonore,geneve.ch,Genève
00mah@ville-ge.chsite,Trésors cachés des arts graphiques,geneve.ch,Genève
00oseo@oseo-ge.chsite,Ateliers numériques de février - Permanence numérique Rive droite,geneve.ch,Genève
01contact@comedie.chsite,L’Empereur d’Atlantis,geneve.ch,Genève
01info@les-salons.chsite,Le cabaret de mes parents,geneve.ch,Genève
01mah@ville-ge.chsite,Méditer au MAH : Voyage en Égypte,geneve.ch,Genève
01victoriahall@geneve.chsite,Tamino,geneve.ch,Genève
03info@chezjeanluc.chsite,David Armada & Friends,geneve.ch,Genève
20info@theatreduloup.chsite,Nous ou le paradoxe du hérisson,geneve.ch,Genève
21adm@arfluvial.chsite,Svatbata de Marcos Morau,geneve.ch,Genève
21contact@laparfumerie.chth,Vertiges,geneve.ch,Genève
21mq.plainpalais@fase.chsite,Final Girl : Red Flag,geneve.ch,Genève
22info@arcenciel-siviez.chr,Descente aux flambeaux Siviez,https://www.nendaz.ch/fr/P76645/descente-aux-flambeaux,Valais
22info@ema.schoolle,GABRIEL ZUFFEREY PIANO SOLO / NATAN NIDDAM VINCENT SCHMIDT DUO - concert JCB,geneve.ch,Genève
26info@athenee.chsite,NIELS HUNG - Curiosity Never Killed The Cat,geneve.ch,Genève
28info@m-r-l.chsite,Écrire pour le théâtre avec Rémi De Vos,geneve.ch,Genève
31info@musee-reforme.chsite,Ciel mes bijoux ! Politique de l'apparence chez Elisabeth Ire d'Angleterre,geneve.ch,Genève
40chatnoir@chatnoir.chsite,DJ TALOCO · HIP HOP - GRIM - DANCEHALL - AMAPIANO,geneve.ch,Genève
40contact@fondation-wrp.chsite,"Workshops artistiques à la Fondation WRP  - ""Booster son énergie"", ""Peinture dans le noir"" & ""Valentine Painting""",geneve.ch,Genève
41info@amstramgram.chsite,Copiar,geneve.ch,Genève
49info@sallecentrale.chsite,Le Bouquet - Mimosa vs. Amaryllis,geneve.ch,Genève
50coordination@alhambra-geneve.chsite,Complet - Antigel Festival : GEORGIO + Fawn,geneve.ch,Genève
51ariana@ville-ge.chsite,Les animaux en scène,geneve.ch,Genève
51citeseniors@geneve.chvivre,"Seniors, conférences informatiques | Les intelligences artificielles, entre promesses et perplexité!",geneve.ch,Genève
51mah@ville-ge.chsite,Fondations,geneve.ch,Genève
51meg@ville-ge.chsite,Parcours mini-MEG,geneve.ch,Genève
59admin@lepoche.chsite,LETTRE À MON DICTATEUR,geneve.ch,Genève
60cmg@cmg.chsite,Intégrale Játékok de György Kurtág,geneve.ch,Genève
60delices.bge@ville-ge.chles,L’expérience de la violence extrême,geneve.ch,Genève
75info@catalyse.chsite,Scène Ouverte,geneve.ch,Genève
75villadutoit@bluewin.chsite,Duo Masson-Vallon - jazz ECM,geneve.ch,Genève
76contact@galpon.chsite,Pas de deux,geneve.ch,Genève
78info@cinemas-du-grutli.chsite,Lost in Narration,geneve.ch,Genève
84info@grutli.chsite,Un Requiem alpestre,geneve.ch,Genève
86info@centre.chsite,Anti-nymphes | Les Nymphes grecques | Conférence de Doralice Fabiano,geneve.ch,Genève
88musee@carouge.chsite,Ateliers de dessin « Illustrer Carouge autrement » pour binôme un adulte + un enfant dès 6 ans,geneve.ch,Genève
89info@nendaz.chcontactinformations,Pâques en folie à Nendaz,https://www.nendaz.ch/fr/P76852/paques-en-folie-a-nendaz,Valais
89info@nendaz.chr,Stage initiation cor des Alpes,https://www.nendaz.ch/fr/P76804/stage-d-initiation-au-cor-des-alpes,Valais
9contact@legroove.chsite,Kompa in the City,geneve.ch,Genève
aim@aiglinmusic.ch,Repas - concert du Aigl'in Music,https://www.myswitzerland.com/fr-ch/decouvrir/manifestations/repas-concert-du-aiglin-music/,Valais
anita@zigzago.ch,Raquettes et raclette,https://www.nendaz.ch/fr/P76638/raquettes-et-raclette,Valais
annick.barbezat@2m2c.ch,Montreux Jazz Festival,https://www.myswitzerland.com/fr-ch/decouvrir/manifestations/montreux-jazz-festival/,Valais
arnaud.favre@riddes.ch,Aliose chante Le Forestier,https://agenda.culturevalais.ch/fr/event/show/39001,Valais
art.brut@lausanne.ch,La Collection de l'Art Brut au Festival de la Cité,https://www.myswitzerland.com/fr-ch/decouvrir/manifestations/la-collection-de-lart-brut-au-festival-de-la-cite/,Valais
biblio.eth@ville-ge.chsite,BiblioWeekend 2026 : Little Nemo,geneve.ch,Genève
bike@aletscharena.ch,UCI Mountainbike Enduro Weltcup,https://www.valais.ch/fr/evenements/uci-mountainbike-enduro-weltcup,Valais
billetterie@afterseason.ch,Villars Afterseason Electronic Festival,https://www.myswitzerland.com/fr-ch/decouvrir/manifestations/villars-afterseason-electronic-festival/,Valais
billetterie@contheyshow.ch,Attache ta tuque ! Le Québec à Conthey,https://www.tempslibre.ch/valais/manifestations/445516-attache-ta-tuque-le-qu-bec-d-barque-conthey,Valais
billetterie@cpo-ouchy.ch,Open Mic - Collectif Open Musical,https://vd.leprogramme.ch/concerts/open-mic-collectif-open-musical-3/lausanne/cpo/,Valais
billetterie@equilibre-nuithonie.ch,La prochaine fois que tu mordras la poussière | Panayotis Pascot - Paul Pascot,https://vd.leprogramme.ch/theatre/la-prochaine-fois-que-tu-mordras-la-poussiere-panayotis-pascot-paul-pascot-2/villars-sur-glane/nuithonie/,Valais
billetterie@lereflet.ch,L'Art d'avoir toujours raison | Cie Cassandre,https://vd.leprogramme.ch/theatre/l-art-d-avoir-toujours-raison-cie-cassandre/vevey/theatre-le-reflet/,Valais
billetterie@theatre-rolle.ch,La Belle Histoire de Coline Serreau,https://vd.leprogramme.ch/theatre/la-belle-histoire-de-coline-serreau/rolle/casino-theatre-de-rolle/,Valais
billetterie@usineagaz.ch,L’Art d’avoir toujours raison | Cie Cassandre,https://vd.leprogramme.ch/theatre/l-art-d-avoir-toujours-raison-cie-cassandre-2/nyon/usine-a-gaz/,Valais
