email,event_title,source_url,canton
aim@aiglinmusic.ch,Repas - concert du Aigl'in Music,https://www.myswitzerland.com/fr-ch/decouvrir/manifestations/repas-concert-du-aiglin-music/,Vaud
anita@zigzago.ch,Raquettes et raclette,https://www.nendaz.ch/fr/P76638/raquettes-et-raclette,Valais
annick.barbezat@2m2c.ch,Montreux Jazz Festival,https://www.myswitzerland.com/fr-ch/decouvrir/manifestations/montreux-jazz-festival/,Vaud
arnaud.favre@riddes.ch,Aliose chante Le Forestier,https://agenda.culturevalais.ch/fr/event/show/39001,Valais
art.brut@lausanne.ch,La Collection de l'Art Brut au Festival de la Cité,https://www.myswitzerland.com/fr-ch/decouvrir/manifestations/la-collection-de-lart-brut-au-festival-de-la-cite/,Vaud
bike@aletscharena.ch,UCI Mountainbike Enduro Weltcup,https://www.valais.ch/fr/evenements/uci-mountainbike-enduro-weltcup,Valais
billetterie@afterseason.ch,Villars Afterseason Electronic Festival,https://www.myswitzerland.com/fr-ch/decouvrir/manifestations/villars-afterseason-electronic-festival/,Vaud
billetterie@contheyshow.ch,Attache ta tuque ! Le Québec à Conthey,https://www.tempslibre.ch/valais/manifestations/445516-attache-ta-tuque-le-qu-bec-d-barque-conthey,Valais
billetterie@cpo-ouchy.ch,Open Mic - Collectif Open Musical,https://vd.leprogramme.ch/concerts/open-mic-collectif-open-musical-3/lausanne/cpo/,Vaud
billetterie@equilibre-nuithonie.ch,La prochaine fois que tu mordras la poussière | Panayotis Pascot - Paul Pascot,https://vd.leprogramme.ch/theatre/la-prochaine-fois-que-tu-mordras-la-poussiere-panayotis-pascot-paul-pascot-2/villars-sur-glane/nuithonie/,Vaud
billetterie@lereflet.ch,L'Art d'avoir toujours raison | Cie Cassandre,https://vd.leprogramme.ch/theatre/l-art-d-avoir-toujours-raison-cie-cassandre/vevey/theatre-le-reflet/,Vaud
billetterie@theatre-rolle.ch,La Belle Histoire de Coline Serreau,https://vd.leprogramme.ch/theatre/la-belle-histoire-de-coline-serreau/rolle/casino-theatre-de-rolle/,Vaud
billetterie@usineagaz.ch,L’Art d’avoir toujours raison | Cie Cassandre,https://vd.leprogramme.ch/theatre/l-art-d-avoir-toujours-raison-cie-cassandre-2/nyon/usine-a-gaz/,Vaud
billetterie@vidy.ch,Stephan Eicher - François Gremaud | Seul en scène,https://vd.leprogramme.ch/theatre/stephan-eicher-francois-gremaud-seul-en-scene/lausanne/vidy-theatre-lausanne/,Vaud
centresportif@nendaz.org,Ice disco Nendaz,https://www.nendaz.ch/fr/P91048/ice-disco,Valais
chateau-morges@vd.ch,"Exposition temporaire Top Secret""""",https://www.vaud.ch/tourisme/tous-les-evenements/exposition-temporaire-top-secret,Vaud
cindy@nendazfreeride.ch,Girls Powder,https://www.nendaz.ch/fr/P153906/girls-powder,Valais
contact@redpigsfestival.ch,Red Pigs Festival,https://www.myswitzerland.com/fr-ch/decouvrir/manifestations/red-pigs-festival/,Vaud
culture@gland.ch,Cie Jolia | Il était une fois le violon,https://vd.leprogramme.ch/spectacle-pour-enfant-famille/cie-jolia-il-etait-une-fois-le-violon-2/gland/theatre-de-grand-champ/spectacle-enfants/,Vaud
culture@morges.ch,Fête de la danse à Morges,https://www.myswitzerland.com/fr-ch/decouvrir/manifestations/fete-de-la-danse-a-morges/,Vaud
durable@prilly.ch,La toile du mois pour le climat,https://www.tempslibre.ch/vaud/spectacles/432878-la-toile-du-mois-pour-le-climat,Vaud
