email,titre,source_url,source
evenements@portesdusoleil.com,FESTIVAL ROCK THE PISTES 2026,https://www.valais.ch/fr/evenements/festival-rock-the-pistes-2026,Valais Tourisme
grimentz@anniviers.ch,Rando'clette,https://www.valais.ch/fr/evenements/rando-clette,Valais Tourisme
info@maxi-rires.ch,Maxi-Rires Festival,https://www.valais.ch/fr/evenements/maxi-rires-festival,Valais Tourisme
info@promochamoson.ch,Fête de la Taille à Chamoson,https://www.valais.ch/fr/evenements/fete-de-la-taille-a-chamoson,Valais Tourisme
info@zermatt-unplugged.ch,Zermatt Unplugged 2026,https://www.valais.ch/fr/evenements/zermatt-unplugged-2026,Valais Tourisme
stadtpolizei@brig-glis.ch,Marché de Pâques,https://www.valais.ch/fr/evenements/marche-de-paques,Valais Tourisme
vereinsekretariat@salgesch.ch,Printemps du vin,https://www.valais.ch/fr/evenements/printemps-du-vin,Valais Tourisme
info@saillontourisme.ch,Fête de l'asperge 2026,https://www.valais.ch/fr/evenements/fete-de-l-asperge-2026,Valais Tourisme
info@jardin-des-vins.ch,Jardin des vins,https://www.valais.ch/fr/evenements/jardin-des-vins,Valais Tourisme
info@swisswinevalais.ch,Les caves ouvertes du Valais,https://www.valais.ch/fr/evenements/les-caves-ouvertes-du-valais-celebrent-leur-20e-edition,Valais Tourisme
info@rd-cycling.com,Marathon des Terroirs du Valais,https://www.valais.ch/fr/evenements/marathon-des-terroirs-du-valais-bcvs-2026,Valais Tourisme
fondation@auborddeleau.ch,Festival Week-end au bord de l'eau,https://www.valais.ch/fr/evenements/19-festival-week-end-au-bord-de-l-eau,Valais Tourisme
info@literaturfestival.ch,Festival int. de littérature,https://www.valais.ch/fr/evenements/festival-int-de-litterature,Valais Tourisme
info@5continents.ch,Festival Les 5 Continents,https://www.valais.ch/fr/evenements/festival-les-5-continents,Valais Tourisme
evenements@portesdusoleil.com,PASS'PORTES 2026,https://www.valais.ch/fr/evenements/pass-portes-2026,Valais Tourisme
info@aletsch-halbmarathon.ch,Aletsch Halbmarathon,https://www.valais.ch/fr/evenements/aletsch-halbmarathon-weekend,Valais Tourisme
info@verbierfestival.com,Verbier Festival,https://www.valais.ch/fr/evenements/verbier-festival,Valais Tourisme
info@livemusic.ch,Sion sous les étoiles,https://www.valais.ch/fr/evenements/sion-sous-les-etoiles,Valais Tourisme
bike@aletscharena.ch,UCI Mountainbike Enduro Weltcup,https://www.valais.ch/fr/evenements/uci-mountainbike-enduro-weltcup,Valais Tourisme
valaissportorganisation@gmail.com,Cyclosportive & Running du Valais,https://www.valais.ch/fr/evenements/cyclosportive-running-du-valais,Valais Tourisme
arnaud.favre@riddes.ch,Aliose chante Le Forestier,https://agenda.culturevalais.ch/fr/event/show/39001,Culture Valais
infaillible@la-potagere.ch,Big Big Horse Party : Nerami + The Revox + King Automatic,https://agenda.culturevalais.ch/fr/event/show/41725,Culture Valais
info@culturevalais.ch,Double D – Live au Pink,https://agenda.culturevalais.ch/fr/event/show/41999,Culture Valais
info@culturevalais.ch,GAIA  - Poussière d’Etoiles - Création,https://agenda.culturevalais.ch/fr/event/show/40796,Culture Valais
info@culturevalais.ch,Joséphine Thurre,https://agenda.culturevalais.ch/fr/event/show/41458,Culture Valais
info@culturevalais.ch,La Mandragore,https://agenda.culturevalais.ch/fr/event/show/41555,Culture Valais
